127.0.0.1 - - [18/Apr/2020:19:40:52 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/Apr/2020:19:44:20 +0530] "GET /TutorCabin/ HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [18/Apr/2020:19:44:51 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:03:11 +0530] "GET /TutorCabin/index.jsp HTTP/1.1" 200 8831
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:03:17 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:03:17 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/Style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:03:17 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:03:17 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:03:17 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/bootstrap-grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:03:17 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/bootstrap.bundle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:03:18 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:03:18 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:03:18 +0530] "GET /TutorCabin/images/TutorCabin.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:03:19 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/croppie.css HTTP/1.1" 200 135657
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:03:19 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/croppie.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:03:19 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/croppie.min.js HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:03:21 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/croppie.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:03:21 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/croppie.min.js HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:03:57 +0530] "GET /TutorCabin/dashboard.html HTTP/1.1" 200 25443
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:03:58 +0530] "GET /TutorCabin/images/Images-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:03:58 +0530] "GET /TutorCabin/images/Images-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:03:59 +0530] "GET /TutorCabin/images/Images-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:03:59 +0530] "GET /TutorCabin/images/Images-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:03:59 +0530] "GET /TutorCabin/images/Images-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:03:59 +0530] "GET /TutorCabin/images/Images-7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:03:59 +0530] "GET /TutorCabin/images/Images-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:03:59 +0530] "GET /TutorCabin/images/Images-8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:04:00 +0530] "GET /TutorCabin/images/imageedit_8_7759839840.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:04:03 +0530] "GET /TutorCabin/images/144763921160125_small.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:04:03 +0530] "GET /TutorCabin/images/imageedit_3_74968451222.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:04:03 +0530] "GET /TutorCabin/images/holding_hand_small.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:04:03 +0530] "GET /TutorCabin/images/ben-knapen-906550_960_720-final216.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:04:03 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/assets/images/page-leaf-left.png HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:04:03 +0530] "GET /TutorCabin/images/12439421_501312913408362_8906112100997727489_n-150x150.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:04:03 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/assets/images/page-leaf-right.png HTTP/1.1" 404 1163
0:0:0:0:0:0:0:1 - - [18/Apr/2020:20:14:20 +0530] "GET /TutorCabin/Login.html HTTP/1.1" 200 2089
