127.0.0.1 - - [09/May/2020:17:29:49 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [09/May/2020:17:30:16 +0530] "GET /TutorCabin/index.jsp HTTP/1.1" 200 8950
0:0:0:0:0:0:0:1 - - [09/May/2020:17:30:18 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/bootstrap-grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:17:30:18 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:17:30:18 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:17:30:18 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:17:30:18 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:17:30:18 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/Style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:17:30:18 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/bootstrap.bundle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:17:30:18 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:17:30:18 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/croppie.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:17:30:19 +0530] "GET /TutorCabin/images/TutorCabin.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:17:30:24 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [09/May/2020:17:31:06 +0530] "GET /TutorCabin/dashboard.html HTTP/1.1" 200 25857
0:0:0:0:0:0:0:1 - - [09/May/2020:17:31:06 +0530] "GET /TutorCabin/images/Images-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:17:31:06 +0530] "GET /TutorCabin/images/Images-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:17:31:06 +0530] "GET /TutorCabin/images/Images-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:17:31:06 +0530] "GET /TutorCabin/images/Images-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:17:31:06 +0530] "GET /TutorCabin/images/Images-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:17:31:06 +0530] "GET /TutorCabin/images/Images-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:17:31:07 +0530] "GET /TutorCabin/images/Images-7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:17:31:07 +0530] "GET /TutorCabin/images/Images-8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:17:31:07 +0530] "GET /TutorCabin/images/144763921160125_small.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:17:31:07 +0530] "GET /TutorCabin/images/imageedit_8_7759839840.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:17:31:07 +0530] "GET /TutorCabin/images/imageedit_3_74968451222.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:17:31:07 +0530] "GET /TutorCabin/images/holding_hand_small.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:17:31:07 +0530] "GET /TutorCabin/images/ben-knapen-906550_960_720-final216.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:17:31:07 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/assets/images/page-leaf-right.png HTTP/1.1" 404 1163
0:0:0:0:0:0:0:1 - - [09/May/2020:17:31:07 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/assets/images/page-leaf-left.png HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [09/May/2020:17:31:07 +0530] "GET /TutorCabin/images/12439421_501312913408362_8906112100997727489_n-150x150.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:17:31:45 +0530] "GET /TutorCabin/Login.html HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [09/May/2020:17:31:46 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/animate.css HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [09/May/2020:17:31:46 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/signup&login_cssR.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:17:31:46 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/book5.jpg HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [09/May/2020:17:32:03 +0530] "POST /TutorCabin/TutorloginPage.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2020:17:32:04 +0530] "GET /TutorCabin/loginTutorCheck.html HTTP/1.1" 302 -
